OBJECT_ID,WINDCODES,INDUSTRYCODES
392985873,000677.SZ:恒天海龙|ON0201:A股|000002.SH:上证A指|ON0209:沪深|000015.SH:上证红利|399324.SZ:深证红利|399100.SZ:深证新综指|399004.SZ:深证100R|399344.SZ:深证300R|399107.SZ:深证A指|ON02:公司,
392985898,,850936.SI:铁路设备|801076.SI:运输设备Ⅱ|801890.SI:机械设备(申万)|ON0302:申万行业|851721.SI:公交Ⅲ|801172.SI:公交Ⅱ|801170.SI:交通运输(申万)|ON03:行业
392985902,2002209:中国铁路总公司|378301:发债主体|3783:非上市公司|600743:中国人民银行|430383.OC:红豆杉|ON0207:三板股|tdUDgBACjv:江苏红豆杉生物科技股份有限公司|038007.IB:03中铁债|1474:企债|1467:所有债券|0980161.IB:09铁道07|0980165.IB:09铁道09|1280194.IB:12铁道02|1280220.IB:12铁道04|1280243.IB:12铁道05|1280279.IB:12铁道07|1280310.IB:12铁道09|1280372.IB:12铁道11|058022.IB:05铁道债|068041.IB:06铁道03|068046.IB:06铁道05|068049.IB:06铁道08|078077.IB:07铁道02|078078.IB:07铁道03|088040.IB:08铁道01|088048.IB:08铁道03|088061.IB:08铁道06|0980135.IB:09铁道01|0980140.IB:09铁道03|0980151.IB:09铁道05|1080105.IB:10铁道01|1080109.IB:10铁道03|1080117.IB:10铁道05|1080136.IB:10铁道08|1082085.IB:10铁道MTN1|111023.SZ:03中铁债|1180142.IB:11铁道01|1180147.IB:11铁道03|1180148.IB:11铁道04|1180156.IB:11铁道06|1180164.IB:11铁道08|1282039.IB:12铁道MTN1|1380252.IB:13铁道03|1380273.IB:13铁道05|1380274.IB:13铁道06|1380305.IB:13铁道08|1380344.IB:13铁道10|1380372.IB:13铁道11|068047.IB:06铁道06|078083.IB:07铁道04|088041.IB:08铁道02|088049.IB:08铁道04|088063.IB:08铁道07|0980136.IB:09铁道02|0980141.IB:09铁道04|0980152.IB:09铁道06|0980162.IB:09铁道08|0980166.IB:09铁道10|0982007.IB:09铁道部MTN2|1080106.IB:10铁道02|1080110.IB:10铁道04|1080118.IB:10铁道06|1080135.IB:10铁道07|1180143.IB:11铁道02|1180155.IB:11铁道05|1180163.IB:11铁道07|120508.SH:05铁道债|1280175.IB:12铁道01|1280219.IB:12铁道03|1280244.IB:12铁道06|1280280.IB:12铁道08|1280311.IB:12铁道10|1280373.IB:12铁道12|1282049.IB:12铁道MTN2|1382282.IB:13铁道MTN1|1580204.IB:15铁道09|1580205.IB:15铁道10|1380241.IB:13铁道01|1380251.IB:13铁道02|1380254.IB:13铁道04|1380304.IB:13铁道07|1380343.IB:13铁道09|101451047.IB:14铁道MTN002|101451057.IB:14铁道MTN003|101453009.IB:14铁道MTN001|068041.BC:06铁道03(柜台)|1380378.IB:13铁道12|1480174.IB:14铁道01|1480287.IB:14铁道02|1480288.IB:14铁道03|1480317.IB:14铁道04|1480318.IB:14铁道05|1480378.IB:14铁道06|1480411.IB:14铁道07|1480476.IB:14铁道08|1480512.IB:14铁道09|1480540.IB:14铁道10|1480556.IB:14铁道11|101553006.IB:15铁道MTN001|1580155.IB:15铁道01|1580156.IB:15铁道02|1580159.IB:15铁道03|1580160.IB:15铁道04|1580173.IB:15铁道05|1580174.IB:15铁道06|1580185.IB:15铁道07|1580186.IB:15铁道08|1580220.IB:15铁道11|1580221.IB:15铁道12|1580237.IB:15铁道13|1580238.IB:15铁道14|101551081.IB:15铁道MTN002|1580255.IB:15铁道15|1580256.IB:15铁道16|1680432.IB:16铁道08|1680448.IB:16铁道09|1680483.IB:16铁道14|1680410.IB:16铁道05|1680482.IB:16铁道13|1680398.IB:16铁道03|1680431.IB:16铁道07|1680449.IB:16铁道10|1580296.IB:15铁道17|1680471.IB:16铁道12|1680380.IB:16铁道01|1680411.IB:16铁道06|1680470.IB:16铁道11|101652024.IB:16铁道MTN002|101653025.IB:16铁道MTN001|1680381.IB:16铁道02|1580297.IB:15铁道18|1680399.IB:16铁道04|ON02:公司,6220107010:贸易公司与工业品经销商|6220107000:贸易公司与工业品经销商Ⅲ|6220100000:资本货物|6220000000:工业|882428.WI:贸易公司与工业品经销商|882213.WI:贸易公司与工业品经销商Ⅲ|882102.WI:资本货物|882003.WI:工业|ON0308:Wind行业分类|886022.WI:贸易|3727:Wind主题行业|CI005014.WI:商贸零售(中信)|ON0301:中信行业|883008.WI:商业贸易(证监会)|ON0303:Wind证监会行业|ON03:行业
392985958,,
392985969,,882510.WI:互联网软件与服务|882248.WI:互联网软件与服务Ⅲ|882119.WI:软件与服务|882008.WI:信息技术|ON0308:Wind行业分类|6245101010:互联网软件与服务|6245101000:互联网软件与服务Ⅲ|6245100000:软件与服务|6245000000:信息技术|886058.WI:互联网|3727:Wind主题行业|883007.WI:信息技术(证监会)|ON0303:Wind证监会行业|ON03:行业
392985977,,
392980066,600743:中国人民银行|378301:发债主体|3783:非上市公司,857421.SI:航空装备Ⅲ|801742.SI:航空装备Ⅱ|801740.SI:国防军工(申万)|ON0302:申万行业|6220305030:海港与服务|6220305000:交通基础设施|6220300000:运输|6220000000:工业|882441.WI:海港与服务|882219.WI:交通基础设施|882104.WI:运输|882003.WI:工业|ON0308:Wind行业分类|6225504050:汽车零售|6225504000:专营零售|6225500000:零售业|6225000000:可选消费|850911.SI:乘用车|801094.SI:汽车整车|801880.SI:汽车(申万)|882576.WI:汽车零售|882230.WI:专营零售|882109.WI:零售业|882004.WI:可选消费|882444.WI:汽车制造|882221.WI:汽车|882105.WI:汽车与汽车零部件|6220201050:环境与设施服务|6220201000:商业服务与用品|6220200000:商业和专业服务|882432.WI:环境与设施服务|882214.WI:商业服务与用品|882103.WI:商业和专业服务|6225101010:汽车零配件与设备|6225101000:汽车零部件|6225100000:汽车与汽车零部件|882442.WI:汽车零配件与设备|882220.WI:汽车零部件|886031.WI:港口|3727:Wind主题行业|886027.WI:海运|883006.WI:交运仓储(证监会)|ON0303:Wind证监会行业|883011.WI:社会服务(证监会)|CI005024.WI:交通运输(中信)|ON0301:中信行业|886042.WI:零售|886033.WI:汽车|CI005013.WI:汽车(中信)|CI005014.WI:商贸零售(中信)|883003.WI:制造行业(证监会)|CI005009.WI:轻工制造(中信)|886024.WI:环保|883004.WI:公用事业(证监会)|CI005004.WI:电力及公用事业(中信)|886032.WI:汽车零部件|ON03:行业|6210102010:综合性石油天然气|6210102000:石油、天然气与供消费用燃料|6210100000:能源Ⅱ|6210000000:能源|882402.WI:综合性石油天然气|882201.WI:石油、天然气与供消费用燃料|882100.WI:能源Ⅱ|882001.WI:能源|6230202030:食品加工与肉类|6230202000:食品|6230200000:食品、饮料与烟草|6230000000:日常消费|851244.SI:食品综合|801124.SI:食品加工|801120.SI:食品饮料(申万)|882481.WI:食品加工与肉类|882233.WI:食品|882111.WI:食品、饮料与烟草|882005.WI:日常消费|886002.WI:石油天然气|883002.WI:采掘行业(证监会)|883105.WI:石油化工(证监会)|CI005001.WI:石油石化(中信)|886046.WI:食品|CI005019.WI:食品饮料(中信)
392986039,502030041:吉林大学|3783:非上市公司|ON02:公司,
392986041,,882416.WI:贵金属与矿石|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|ON0308:Wind行业分类|882414.WI:金属非金属|6215104040:贵金属与矿石|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|6215104020:金属非金属|886011.WI:贵金属|3727:Wind主题行业|886010.WI:基本金属|CI005003.WI:有色金属(中信)|ON0301:中信行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883107.WI:金属非金属(证监会)|883003.WI:制造行业(证监会)|ON03:行业
392990018,AGFI.WI:沪银|ON0241:Wind商品|NMFI.WI:Wind贵金属|NH0400:南华金属收益率|1485:商品类|NH0100:南华商品收益率|CCFI.WI:Wind商品|ON02:公司,882416.WI:贵金属与矿石|882205.WI:金属、非金属与采矿|882101.WI:材料Ⅱ|882002.WI:材料|ON0308:Wind行业分类|6215104040:贵金属与矿石|6215104000:金属、非金属与采矿|6215100000:材料Ⅱ|6215000000:材料|886011.WI:贵金属|3727:Wind主题行业|886010.WI:基本金属|CI005003.WI:有色金属(中信)|ON0301:中信行业|883002.WI:采掘行业(证监会)|ON0303:Wind证监会行业|883107.WI:金属非金属(证监会)|ON03:行业
